Name,Rank,Tuition,UndergradEnrollment,TotalHeadCount,Region,State,Location,UndergradHeadCount,DoctorateDegrees,MastersDegrees,Bachelorsdegree,TotalGraduationRate,MenGraduationRate,WomenGraduationRate,InStatePrice,OutStatePrice,PercentAdmitted,PercentAdmittedMen,PercentAdmittedWomen,TotalFTEstaff,ResearchFTE,AverageSalaryInstructors
Princeton University,1,45320,5402,8258,Northeast,NJ,"Princeton, NJ",5502,389,607,1267,97,96,98,55832,55832,7,7,8,5494,0,141399
Harvard University,2,47074,6699,35611,Northeast,MA,"Cambridge, MA",14618,1535,3777,1822,98,96,99,59950,59950,6,6,6,16030,1939,160749
University of Chicago,3,52491,5844,17357,Midwest,IL,"Chicago, IL",6179,711,2610,1385,93,93,93,64988,64988,9,10,8,9862,1339,149301
Yale University,3,49480,5532,13335,Northeast,CT,"New Haven, CT",6615,742,1589,1344,96,95,98,61620,61620,7,8,6,13623,1910,144378
Columbia University in the City of New York,5,55056,6102,29073,Northeast,NY,"New York, NY",8314,1397,7162,2061,95,94,95,64144,64144,7,8,7,15819,1903,141354
Stanford University,5,47940,6999,21599,West,CA,"Stanford, CA",8376,1000,2243,1634,95,92,97,60749,60749,6,6,6,12558,1307,178758
Massachusetts Institute of Technology,7,48452,4527,11889,Northeast,MA,"Cambridge, MA",4595,594,1730,1060,91,90,92,59020,59020,8,6,13,11635,4234,140553
Duke University,8,51265,6639,17575,South,NC,"Durham, NC",7461,1136,2239,1883,95,94,96,61748,61748,13,14,13,16399,1404,128592
University of Pennsylvania,8,51464,9726,27900,Northeast,PA,"Philadelphia, PA",12583,1199,3521,2551,96,95,96,61800,61800,12,12,13,15738,1329,139140
Johns Hopkins University,10,50410,6524,25553,South,MD,"Baltimore, MD",7510,619,4658,1671,93,92,95,61502,61502,18,18,18,16143,680,98298
Dartmouth College,11,51438,4307,6945,Northeast,NH,"Hanover, NH",4725,185,629,1116,95,95,95,63279,63279,10,10,9,4118,71,118287
California Institute of Technology,12,47577,1001,2291,West,CA,"Pasadena, CA",1014,181,148,197,92,91,93,58755,58755,11,8,17,3015,569,157761
Northwestern University,12,50855,8314,25325,Midwest,IL,"Evanston, IL",11080,986,3554,2188,93,92,95,63193,63193,15,16,15,8961,963,130725
Brown University,14,51367,6652,9581,Northeast,RI,"Providence, RI",6997,319,461,1594,96,95,97,60460,60460,9,11,8,4114,373,120429
Cornell University,15,50953,14315,22176,Northeast,NY,"Ithaca, NY",14706,781,2328,3570,93,92,94,61618,61618,16,14,17,9888,825,124380
Rice University,15,43918,3910,7115,South,TX,"Houston, TX",4234,191,717,952,93,92,94,54291,54291,17,17,17,2843,17,121212
University of Notre Dame,15,49685,8462,12632,Midwest,IN,"Notre Dame, IN",8610,386,980,2085,96,95,96,60117,60117,22,23,22,5419,372,113661
Vanderbilt University,15,45610,6883,13577,South,TN,"Nashville, TN",6978,666,1416,1663,93,93,93,61112,61112,13,15,11,23195,517,115839
Washington University in St Louis,19,49770,7504,15365,Midwest,MO,"St. Louis, MO",8132,752,1485,1773,95,94,96,61808,61808,16,16,15,12488,848,119574
Emory University,20,47954,6867,15852,South,GA,"Atlanta, GA",8586,736,1300,1909,89,90,88,59908,59908,26,26,27,10517,1024,109197
Georgetown University,20,50547,7562,21415,South,DC,"Washington, DC",9061,955,3200,1794,95,95,95,62179,62179,17,19,16,5245,331,115659
University of California-Berkeley,20,40191,27496,39722,West,CA,"Berkeley, CA",28919,1287,2215,7362,91,88,93,33319,56197,18,17,19,10624,1531,131868
University of Southern California,23,52217,18810,46174,West,CA,"Los Angeles, CA",20336,1481,7042,4746,91,90,92,62180,62180,20,20,20,13189,280,117405
Carnegie Mellon University,24,52040,6454,13335,Northeast,PA,"Pittsburgh, PA",6525,341,2999,1442,88,87,90,62032,62032,25,21,33,4842,199,99495
University of California-Los Angeles,24,39518,29585,43378,West,CA,"Los Angeles, CA",30815,1432,2951,7296,91,89,93,32416,55294,22,21,23,17235,1150,135801
University of Virginia-Main Campus,24,45066,16736,27542,South,VA,"Charlottesville, VA",18464,919,1649,3697,94,92,96,26075,53461,30,29,31,8262,333,111852
Tufts University,27,52430,5290,12091,Northeast,MA,"Medford, MA",5600,606,1219,1383,92,91,93,61000,61000,19,21,17,3999,138,102843
University of Michigan-Ann Arbor,27,43476,28312,45295,Midwest,MI,"Ann Arbor, MI",29091,1626,4155,6925,91,89,92,26240,53490,33,30,37,19754,0,94581
Wake Forest University,27,49308,4871,8093,South,NC,"Winston-Salem, NC",4971,357,739,1153,88,88,89,60242,60242,35,36,35,6327,19,98352
University of North Carolina at Chapel Hill,30,33916,18415,31614,South,NC,"Chapel Hill, NC",19370,1229,2072,4566,90,88,92,24024,45806,28,28,27,11666,556,102528
Boston College,31,51296,9192,15591,Northeast,MA,"Chestnut Hill, MA",10278,430,1326,2341,91,90,93,60706,60706,32,33,31,3521,237,120195
Richard Bland College of the College of William and Mary,32,41718,6301,1832,South,VA,"Williamsburg, VA",1832,,,,30,28,31,17884,27722,56,51,59,113,0,55404
University of Rochester,32,50142,6304,11704,Northeast,NY,"Rochester, NY",6778,393,1259,1663,84,82,86,61340,61340,36,35,36,8641,293,114858
Brandeis University,34,51570,3621,6415,Northeast,MA,"Waltham, MA",3884,97,741,833,91,91,91,61070,61070,37,39,36,1572,205,101952
Georgia Institute of Technology-Main Campus,34,32404,15142,24434,South,GA,"Atlanta, GA",16158,553,1964,3224,82,79,86,23384,42688,55,52,60,6820,0,101070
